bucket	module	resource	slots	reason	value
NEUTRAL	app	app_name		brand or developer surface	SquawkIt
NEUTRAL	composeApp	clearing_local_data		no domain vocabulary	Clearing local data…
NEUTRAL	composeApp	database_error		no domain vocabulary	Database Error
NEUTRAL	composeApp	database_problem_message		no domain vocabulary	A problem was detected with the local database. Tap below to wipe your device's copy and re-sync from the cloud. Your cloud data is safe and will be restored.
NEUTRAL	composeApp	wipe_and_resync		no domain vocabulary	Wipe and Re-sync
NEUTRAL	composeApp	wiping		no domain vocabulary	Wiping…
NEUTRAL	core/sharedassets	accept		no domain vocabulary	Accept
NEUTRAL	core/sharedassets	add		no domain vocabulary	Add
NEUTRAL	core/sharedassets	all		no domain vocabulary	All
NEUTRAL	core/sharedassets	app_name		brand or developer surface	SquawkIt
NEUTRAL	core/sharedassets	back		no domain vocabulary	Back
NEUTRAL	core/sharedassets	cancel		no domain vocabulary	Cancel
NEUTRAL	core/sharedassets	configuration		no domain vocabulary	Configuration
NEUTRAL	core/sharedassets	continue_action		no domain vocabulary	Continue
NEUTRAL	core/sharedassets	dash		no domain vocabulary	—
NEUTRAL	core/sharedassets	delete		no domain vocabulary	Delete
NEUTRAL	core/sharedassets	delete_failed		no domain vocabulary	Delete failed
NEUTRAL	core/sharedassets	details		no domain vocabulary	Details
NEUTRAL	core/sharedassets	discard		no domain vocabulary	Discard
NEUTRAL	core/sharedassets	dismiss		no domain vocabulary	Dismiss
NEUTRAL	core/sharedassets	done		no domain vocabulary	Done
NEUTRAL	core/sharedassets	edit		no domain vocabulary	Update
NEUTRAL	core/sharedassets	edit_profile		no domain vocabulary	Update Profile
NEUTRAL	core/sharedassets	enter_invite_code		no domain vocabulary	Enter invite code
NEUTRAL	core/sharedassets	error_occurred		no domain vocabulary	An error occurred
NEUTRAL	core/sharedassets	file_size_bytes		no domain vocabulary	%1$s B
NEUTRAL	core/sharedassets	file_size_kb		no domain vocabulary	%1$s KB
NEUTRAL	core/sharedassets	file_size_mb		no domain vocabulary	%1$s MB
NEUTRAL	core/sharedassets	file_size_zero_kb		no domain vocabulary	0 KB
NEUTRAL	core/sharedassets	make_model_template		no domain vocabulary	%1$s %2$s
NEUTRAL	core/sharedassets	manage_access		no domain vocabulary	Manage Access
NEUTRAL	core/sharedassets	none		no domain vocabulary	None
NEUTRAL	core/sharedassets	not_now		no domain vocabulary	Not now
NEUTRAL	core/sharedassets	ok		no domain vocabulary	OK
NEUTRAL	core/sharedassets	or		no domain vocabulary	OR
NEUTRAL	core/sharedassets	remove		no domain vocabulary	Remove
