# Every user-facing string, captured BEFORE Phase 2C converted any of them (#658).
# Real newlines and tabs are stored as U+0001 and U+0002, because the format is line-based and 12
# strings are multi-line — and because strings.xml also holds literal backslash-n as Android escape
# text, which a backslash scheme cannot distinguish from an escaped newline.
# Everything else, including XML entities and trailing whitespace, is exactly as authored.
# Two kinds of entry live here. The original 968 are historical evidence: what the app said before
# any conversion. Entries added later are forward pins — what an aviation user should see from now
# on. The test treats them identically; only the provenance differs, and only the first kind can
# testify that a conversion changed nothing.
# Regenerating this file to make the test pass defeats its entire purpose.
module	resource	value
app	app_name	SquawkIt
composeApp	clearing_local_data	Clearing local data…
composeApp	database_error	Database Error
composeApp	database_problem_message	A problem was detected with the local database. Tap below to wipe your device's copy and re-sync from the cloud. Your cloud data is safe and will be restored.
composeApp	wipe_and_resync	Wipe and Re-sync
composeApp	wiping	Wiping…
core/sharedassets	accept	Accept
core/sharedassets	add	Add
core/sharedassets	add_thing	Add Aircraft
core/sharedassets	all	All
core/sharedassets	app_name	SquawkIt
core/sharedassets	back	Back
core/sharedassets	cancel	Cancel
core/sharedassets	component_airframe	Airframe
core/sharedassets	component_engine	Engine
core/sharedassets	component_propeller	Propeller
core/sharedassets	component_type	Component Type
core/sharedassets	configuration	Configuration
core/sharedassets	continue_action	Continue
core/sharedassets	dash	—
core/sharedassets	delete	Delete
core/sharedassets	delete_failed	Delete failed
core/sharedassets	details	Details
core/sharedassets	discard	Discard
core/sharedassets	dismiss	Dismiss
core/sharedassets	done	Done
core/sharedassets	edit	Update
core/sharedassets	empty_add_thing	Add an aircraft to get started
core/sharedassets	enter_invite_code	Enter invite code
core/sharedassets	file_size_bytes	%1$s B
core/sharedassets	file_size_kb	%1$s KB
core/sharedassets	file_size_mb	%1$s MB
core/sharedassets	file_size_zero_kb	0 KB
core/sharedassets	make_model_template	%1$s %2$s
core/sharedassets	manage_access	Manage Access
core/sharedassets	none	None
core/sharedassets	not_now	Not now
core/sharedassets	ok	OK
core/sharedassets	or	OR
core/sharedassets	remove	Remove
core/sharedassets	required	Required
core/sharedassets	retry	Try Again
core/sharedassets	save	Save
core/sharedassets	save_changes	Save Changes
core/sharedassets	save_failed	Save failed
core/sharedassets	select_date	Select Date
core/sharedassets	settings	Settings
core/sharedassets	shell_nav_tasks_narrow	Maint. Tasks
core/sharedassets	shell_tab_dashboard	Dashboard
core/sharedassets	shell_tab_logs	Logs
core/sharedassets	shell_tab_tasks	Maint.
core/sharedassets	sync_changes_discarded	Unsaved changes to %1$s were discarded — your access was removed
core/sharedassets	term_with_abbreviation	%1$s (%2$s)
core/sharedassets	thing_shared_badge	Shared
core/sharedassets	unit_hours	hrs
core/sharedassets	unknown	Unknown
core/sharedassets	unsaved_changes	Unsaved Changes
core/sharedassets	unsaved_changes_message	You have unsaved changes. Are you sure you want to leave?
feature/ads/sharedassets	ads_a11y_advertisement	Advertisement
feature/ads/sharedassets	ads_sponsored_label	Sponsored
feature/attachment/sharedassets	add_file_failed	Failed to add file
feature/attachment/sharedassets	add_link	Add link
feature/attachment/sharedassets	attachment_limits_hint	Up to 3 files · Max 5 MB each
feature/attachment/sharedassets	attachment_type_image	Image
feature/attachment/sharedassets	attachment_type_pdf	PDF
feature/attachment/sharedassets	attachment_type_text	Text
feature/attachment/sharedassets	attachments	Attachments
feature/attachment/sharedassets	choose_file	Choose file
feature/attachment/sharedassets	delete_saved_attachment_message	The file will be permanently deleted when you save.
feature/attachment/sharedassets	delete_saved_attachment_title	Remove file?
feature/attachment/sharedassets	duplicate_file_skipped	Already attached — duplicate files were skipped
feature/attachment/sharedassets	file_read_error	Could not read selected file
feature/attachment/sharedassets	file_too_large	File exceeds 5 MB limit
feature/attachment/sharedassets	file_upload_coming_soon	Subscribe to SquawkIt Pro to attach photos &amp; files
feature/attachment/sharedassets	files_over_limit_skipped	Only 3 files can be attached — the extra files were not added
